model,seed,synth_ratio,n_real,n_synthetic,accuracy,ece_before,T_global,ece_global
distilbert,42,0%,10000,0,0.8899,0.0854,1.8127,0.0463
distilbert,42,25%,7500,2500,0.8945,0.0866,1.8225,0.05
distilbert,42,50%,5000,5000,0.8716,0.1077,1.9867,0.0657
distilbert,42,75%,2500,7500,0.8704,0.1163,2.0579,0.0721
distilbert,42,100%,0,10000,0.7901,0.1897,2.2208,0.1518
distilbert,123,0%,10000,0,0.8911,0.0893,1.8329,0.0429
distilbert,123,25%,7500,2500,0.8876,0.0923,1.9225,0.0532
distilbert,123,50%,5000,5000,0.8784,0.1039,1.8871,0.068
distilbert,123,75%,2500,7500,0.8681,0.1158,2.0791,0.0766
distilbert,123,100%,0,10000,0.7959,0.1926,2.2803,0.1608
distilbert,456,0%,10000,0,0.8979,0.0799,1.8055,0.0368
distilbert,456,25%,7500,2500,0.8761,0.1067,1.883,0.0662
distilbert,456,50%,5000,5000,0.875,0.1075,2.0256,0.0678
distilbert,456,75%,2500,7500,0.8716,0.1046,2.0309,0.0686
distilbert,456,100%,0,10000,0.7695,0.2133,2.3262,0.1758
roberta,42,0%,10000,0,0.9232,0.0684,1.8488,0.0365
roberta,42,25%,7500,2500,0.9243,0.0682,1.961,0.0373
roberta,42,50%,5000,5000,0.9174,0.0783,2.0325,0.0516
roberta,42,75%,2500,7500,0.9209,0.0768,2.1043,0.0459
roberta,42,100%,0,10000,0.7649,0.2287,2.4097,0.2085
roberta,123,0%,10000,0,0.9369,0.0561,1.7623,0.0284
roberta,123,25%,7500,2500,0.9174,0.0766,1.8643,0.0432
roberta,123,50%,5000,5000,0.9266,0.0673,1.8807,0.039
roberta,123,75%,2500,7500,0.9025,0.0955,2.0158,0.0643
roberta,123,100%,0,10000,0.8028,0.1881,2.3661,0.1636
roberta,456,0%,10000,0,0.93,0.059,1.8235,0.0239
roberta,456,25%,7500,2500,0.922,0.0696,1.9112,0.0401
roberta,456,50%,5000,5000,0.9255,0.0725,2.0659,0.0462
roberta,456,75%,2500,7500,0.9106,0.0845,2.1759,0.0584
roberta,456,100%,0,10000,0.7982,0.1958,2.411,0.1688
