model,synth_ratio,accuracy_mean,accuracy_std,ece_before_mean,ece_before_std,T_global_mean,T_global_std,ece_global_mean,ece_global_std
distilbert,0%,0.893,0.0043,0.0849,0.0047,1.817,0.0142,0.042,0.0048
distilbert,25%,0.8861,0.0093,0.0952,0.0104,1.876,0.0504,0.0565,0.0086
distilbert,50%,0.875,0.0034,0.1064,0.0021,1.9665,0.0714,0.0672,0.0013
distilbert,75%,0.87,0.0018,0.1122,0.0066,2.056,0.0242,0.0724,0.004
distilbert,100%,0.7852,0.0139,0.1985,0.0129,2.2758,0.0528,0.1628,0.0121
roberta,0%,0.93,0.0069,0.0612,0.0064,1.8115,0.0445,0.0296,0.0064
roberta,25%,0.9212,0.0035,0.0715,0.0045,1.9122,0.0484,0.0402,0.003
roberta,50%,0.9232,0.005,0.0727,0.0055,1.993,0.0987,0.0456,0.0063
roberta,75%,0.9113,0.0092,0.0856,0.0094,2.0987,0.0802,0.0562,0.0094
roberta,100%,0.7886,0.0207,0.2042,0.0216,2.3956,0.0256,0.1803,0.0246
